Empresa;Ramo de atividade;Faturamento anual;Orçamento anual de TI;Investimento em Automação;Investimento em APIs;Investimento em BI;Investimento em Blockchain;Investimento em Cloud;Investimento em Cibersegurança;Investimento em Inteligência Artificial;Investimento em Metaverso;Investimento em ESG;Maiores desafios da área de TI;Maiores fatores de risco para atingir os desafios;Posição da área de TI em projetos de inovação
1;Holdings e Grupos Empresariais;Até R$ 7 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Resistência interna a mudanças;Processos lentos e inflexíveis";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
2;Transporte e Logística;Até R$ 6 bilhões;Até R$ 100 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada)";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
3;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 7 bilhões;Até R$ 50 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Resistência interna a mudanças";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
4;Indústria de Alimentos, bebidas e fumos;Até R$ 5 bilhões;Até R$ 80 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Reduzir custos de operação da TI;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
5;Agronegócios;Até R$ 10 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
6;Agronegócios;Até R$ 14 bilhões;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
7;Bens de consumo;Até R$ 2 bilhões;Até R$ 10 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
8;Saúde (hospitais, clínicas, diagnósticos);Até R$ 5 bilhões;Até R$ 100 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
9;Transporte e Logística;Até R$ 2 bilhões;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada)";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
10;Serviços Financeiros;Até R$ 1 bilhão;Até R$ 10 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";Envolve-se informal e indiretamente com os projetos de inovação
